"","ID","NoAuthors","NoCollaborations","Origin.Country","Int.Collab","Countries","journal"
"4075","24746000",10,9,"Netherlands",1,"Netherlands","lancet"
"4076","24745698",59,44,"France",20,"France,China,Germany,Brazil,Argentina,Poland,Netherlands,Czech Republic,Italy,Portugal,Chile,Ukraine,Spain,Turkey,Hungary,Slovenia,India,Norway,Greece,USA","lancet"
"4077","24745696",20,19,"UK",1,"UK","lancet"
"4078","24743000",12,8,"USA",1,"USA","lancet"
"4079","24742740",23,18,"China",1,"China","lancet"
"4080","24742739",23,20,"France",13,"France,USA,Turkey,Japan,China,Belgium,Singapore,Hungary,UK,Argentina,Australia,Hanover,Italy","lancet"
"4081","24740087",17,12,"USA",6,"USA,UK,South Africa,Niger,Kenya,Switzerland","lancet"
"4082","24740011",736,11,"Belgium",10,"Belgium,Canada,Mexico,France,Spain,Australia,Germany,Italy,Netherlands,USA","lancet"
"4083","24739897",15,13,"Belgium",6,"Belgium,Denmark,Germany,Czech Republic,Netherlands,USA","lancet"
"4084","24739896",12,10,"Australia",10,"Australia,Belgium,Korea,China,Italy,South Africa,India,UK,Russia,USA","lancet"
"4085","24739246",87,16,"USA",8,"USA,France,UK,Italy,Iceland,Denmark,Belgium,Netherlands","lancet"
"4086","24731888",22,18,"India",2,"India,UK","lancet"
"4087","24731887",24,17,"UK",3,"UK,India,USA","lancet"
"4088","24731885",24,21,"India",2,"India,UK","lancet"
"4089","24731674",15,9,"China",3,"China,USA,Switzerland","lancet"
"4090","24731673",32,9,"UK",4,"UK,Australia,China,Sweden","lancet"
"4091","24731672",8,7,"Netherlands",7,"Netherlands,Belgium,France,Australia,USA,India,Germany","lancet"
"4092","24731671",10,9,"Netherlands",6,"Netherlands,Norway,Czech Republic,Australia,USA,Sweden","lancet"
"4093","24731670",4,3,"Australia",1,"Australia","lancet"
"4094","24731669",1,1,"Finland",1,"Finland","lancet"
"4095","24731668",4,4,"UK",3,"UK,Canada,USA","lancet"
"4096","24731667",2,2,"USA",1,"USA","lancet"
"4097","24731666",2,2,"Belgium",1,"Belgium","lancet"
"4098","24731665",2,2,"UK",1,"UK","lancet"
"4099","24731664",2,2,"USA",1,"USA","lancet"
"4100","24731663",3,2,"New Zealand",1,"New Zealand","lancet"
"4101","24731662",1,1,"Italy",1,"Italy","lancet"
"4102","24731660",3,2,"USA",1,"USA","lancet"
"4103","24731659",3,3,"Germany",1,"Germany","lancet"
"4104","24731657",25,24,"Canada",15,"Canada,USA,France,Denmark,Netherlands,Italy,Sweden,Belgium,UK,Finland,Spain,Germany,South Africa,Brazil,Australia","lancet"
"4105","24731656",2,2,"Spain",2,"Spain,Italy","lancet"
"4106","24731536",3,3,"Germany",2,"Germany,Switzerland","lancet"
"4107","24731535",8,5,"Australia",1,"Australia","lancet"
"4108","24731404",45,43,"USA",12,"USA,Austria,Israel,China,Mexico,Brazil,India,Croatia,UK,Russia,Kazakhstan,Australia","lancet"
"4109","24726478",9,3,"Mexico",2,"Mexico,USA","lancet"
"4110","24726477",14,5,"Switzerland",2,"Switzerland,UK","lancet"
"4111","24726406",8,8,"Brazil",2,"Brazil,USA","lancet"
"4112","24726095",60,13,"France",2,"France,Brazil","lancet"
"4113","24726066",26,5,"Netherlands",1,"Netherlands","lancet"
"4114","24725468",14,9,"UK",1,"UK","lancet"
"4115","24725467",3,3,"USA",3,"USA,Portugal,Canada","lancet"
"4116","24721230",3,3,"USA",1,"USA","lancet"
"4117","24721229",5,4,"Switzerland",1,"Switzerland","lancet"
"4118","24718270",35,32,"Germany",1,"Germany","lancet"
"4119","24717919",21,16,"UK",1,"UK","lancet"
"4120","24717640",11,8,"UK",1,"UK","lancet"
"4121","24717638",2,2,"USA",2,"USA,Mexico","lancet"
"4122","24717637",21,12,"UK",2,"UK,Australia","lancet"
"4123","24717628",8,8,"South Africa",4,"South Africa,USA,India,Italy","lancet"
"4124","24717627",8,8,"Germany",5,"Germany,Sweden,India,USA,UK","lancet"
"4125","24717626",5,2,"UK",1,"UK","lancet"
"4126","24717625",26,15,"UK",1,"UK","lancet"
"4127","24717624",18,12,"USA",4,"USA,Germany,Ireland,UK","lancet"
"4128","24717623",107,11,"UK",2,"UK,South Africa","lancet"
"4129","24703832",8,6,"Australia",1,"Australia","lancet"
"4130","24703831",67,21,"Rwanda",4,"Rwanda,USA,Hanover,Switzerland","lancet"
"4131","24703753",15,13,"Spain",3,"Spain,Germany,Italy","lancet"
"4132","24703631",6,4,"UK",1,"UK","lancet"
"4133","24703531",43,9,"UK",1,"UK","lancet"
"4134","24703208",90,16,"Spain",1,"Spain","lancet"
"4135","24703207",6,4,"USA",1,"USA","lancet"
"4136","24703052",3,3,"Australia",2,"Australia,USA","lancet"
"4137","24703051",2,2,"UK",1,"UK","lancet"
"4138","24703050",6,3,"Mexico",2,"Mexico,USA","lancet"
"4139","24703049",4,2,"New Zealand",1,"New Zealand","lancet"
"4140","24703048",4,4,"Denmark",1,"Denmark","lancet"
"4141","24703047",165,10,"USA",4,"USA,Germany,UK,Israel","lancet"
"4142","24703046",7,6,"USA",1,"USA","lancet"
"4143","24702835",10,7,"USA",2,"USA,Israel","lancet"
"4144","24698485",79,13,"Spain",10,"Spain,USA,Germany,France,Italy,Romania,Russia,Switzerland,UK,Japan","lancet"
"4145","24698483",4,4,"Georgia",3,"Georgia,UK,USA","lancet"
"4146","24694983",15,7,"Italy",3,"Italy,USA,Israel","lancet"
"4147","24694642",5,5,"Belgium",4,"Belgium,USA,Netherlands,UK","lancet"
"4148","24694641",11,9,"Italy",3,"Italy,Greece,Austria","lancet"
"4149","24694640",12,10,"Belgium",6,"Belgium,UK,France,Italy,Netherlands,Switzerland","lancet"
"4150","24694639",1,1,"Italy",1,"Italy","lancet"
"4151","24685278",4,4,"Australia",3,"Australia,Netherlands,UK","lancet"
"4152","24685276",14,12,"USA",3,"USA,Switzerland,Hanover","lancet"
"4153","24680633",6,6,"Netherlands",3,"Netherlands,UK,Belgium","lancet"
"4154","24680372",13,7,"USA",1,"USA","lancet"
"4155","24679664",2,2,"UK",1,"UK","lancet"
"4156","24675048",6,4,"Netherlands",2,"Netherlands,UK","lancet"
"4157","24671080",9,7,"USA",1,"USA","lancet"
"4158","24670627",10,8,"UK",5,"UK,Germany,Switzerland,USA,Sweden","lancet"
"4159","24657153",8,2,"Cuba",1,"Cuba","lancet"
"4160","24657114",54,16,"Belgium",15,"Belgium,Denmark,Armenia,Azerbaijan,Belarus,Bosnia and Herzegovina,Georgia,Kosovo,Kyrgyzstan,Montenegro,NA,Serbia,Tajikistan,Turkey,Croatia","lancet"
"4161","24657003",20,16,"Italy",6,"Italy,Germany,Russia,Spain,Switzerland,USA","lancet"
"4162","24656609",86,8,"UK",7,"UK,Germany,Poland,Czech Republic,Spain,Switzerland,USA","lancet"
"4163","24656567",10,4,"China",1,"China","lancet"
"4164","24656536",3,2,"France",1,"France","lancet"
"4165","24656439",3,3,"Germany",1,"Germany","lancet"
"4166","24655729",17,11,"UK",1,"UK","lancet"
"4167","24650955",18,3,"China",1,"China","lancet"
"4168","24646875",8,8,"Canada",4,"Canada,Germany,USA,Ireland","lancet"
"4169","24646874",4,4,"USA",2,"USA,Germany","lancet"
"4170","24646873",2,2,"USA",1,"USA","lancet"
"4171","24636210",17,12,"USA",2,"USA,Canada","lancet"
"4172","24636208",43,30,"France",8,"France,Belgium,Germany,Italy,Spain,Greece,UK,USA","lancet"
"4173","24631223",15,13,"UK",4,"UK,USA,Sweden,Switzerland","lancet"
"4174","24631222",4,3,"UK",1,"UK","lancet"
"4175","24631162",19,7,"Denmark",1,"Denmark","lancet"
"4176","24630777",24,18,"UK",6,"UK,Sweden,France,Germany,Canada,Saudi Arabia","lancet"
"4177","24629994",61,13,"India",3,"India,USA,France","lancet"
"4178","24629298",7,2,"UK",1,"UK","lancet"
"4179","24622756",3,3,"Sweden",2,"Sweden,Finland","lancet"
"4180","24622755",5,5,"Netherlands",3,"Netherlands,UK,USA","lancet"
"4181","24622754",4,4,"Hungary",3,"Hungary,France,UK","lancet"
"4182","24622753",7,6,"France",3,"France,Hungary,UK","lancet"
"4183","24622752",16,7,"UK",2,"UK,Austria","lancet"
"4184","24622751",13,9,"Netherlands",1,"Netherlands","lancet"
"4185","24622750",8,6,"Switzerland",2,"Switzerland,Morocco","lancet"
"4186","24622721",2,2,"USA",2,"USA,Brazil","lancet"
"4187","24622720",2,2,"USA",1,"USA","lancet"
"4188","24622719",3,3,"Denmark",1,"Denmark","lancet"
"4189","24622718",2,2,"UK",2,"UK,Ireland","lancet"
"4190","24622717",5,4,"Australia",1,"Australia","lancet"
"4191","24622716",6,3,"Japan",1,"Japan","lancet"
"4192","24622715",9,6,"UK",1,"UK","lancet"
"4193","24622714",7,5,"Italy",1,"Italy","lancet"
"4194","24622671",4,4,"France",2,"France,Belgium","lancet"
"4195","24622670",3,3,"UK",1,"UK","lancet"
"4196","24622669",4,3,"Australia",2,"Australia,USA","lancet"
"4197","24622668",13,13,"China",1,"China","lancet"
"4198","24622667",5,4,"USA",4,"USA,Argentina,Denmark,Canada","lancet"
"4199","24622666",46,29,"Australia",10,"Australia,Netherlands,Germany,UK,Spain,Finland,France,Sweden,Denmark,Italy","lancet"
"4200","24621685",3,3,"USA",1,"USA","lancet"
"4201","24621684",5,3,"UK",1,"UK","lancet"
"4202","24621683",305,16,"USA",3,"USA,UK,Norway","lancet"
"4203","24621682",15,8,"USA",2,"USA,Puerto Rico","lancet"
"4204","24621681",9,5,"UK",1,"UK","lancet"
"4205","24621680",14,12,"China",2,"China,Italy","lancet"
"4206","24621620",33,31,"Japan",1,"Japan","lancet"
"4207","24618352",4,3,"Netherlands",1,"Netherlands","lancet"
"4208","24618336",19,16,"UK",9,"UK,Netherlands,Germany,Belgium,France,Slovakia,Denmark,Canada,Italy","lancet"
"4209","24613349",11,11,"Switzerland",5,"Switzerland,Germany,Canada,Russia,USA","lancet"
"4210","24613084",8,7,"USA",3,"USA,Peru,Israel","lancet"
"4211","24613026",3,3,"Netherlands",2,"Netherlands,Australia","lancet"
"4212","24613024",14,8,"Netherlands",5,"Netherlands,Belgium,France,UK,Italy","lancet"
"4213","24612863",2,2,"UK",1,"UK","lancet"
"4214","24612861",2,2,"UK",1,"UK","lancet"
"4215","24612754",13,9,"India",2,"India,UK","lancet"
"4216","24602844",33,24,"Brazil",9,"Brazil,Malawi,USA,India,Zimbabwe,Thailand,Botswana,Kenya,South Africa","lancet"
"4217","24602842",7,6,"UK",1,"UK","lancet"
"4218","24602760",18,14,"UK",5,"UK,Mali,Poland,Turkey,Australia","lancet"
"4219","24599929",4,3,"Portugal",2,"Portugal,UK","lancet"
"4220","24582530",8,3,"UK",2,"UK,Australia","lancet"
"4221","24582505",20,19,"UK",12,"UK,Italy,Czech Republic,Israel,Belgium,Spain,Germany,Greece,Canada,Netherlands,Australia,Switzerland","lancet"
"4222","24582486",30,20,"Italy",2,"Italy,France","lancet"
"4223","24582471",59,16,"USA",1,"USA","lancet"
"4224","24581940",17,13,"UK",3,"UK,New Zealand,Australia","lancet"
"4225","24581702",11,11,"USA",6,"USA,UK,Netherlands,France,Spain,Canada","lancet"
"4226","24581683",60,15,"USA",13,"USA,Belgium,UK,Germany,Greece,Finland,Poland,Spain,NA,Switzerland,Ireland,Sweden,Netherlands","lancet"
"4227","24581682",2,2,"USA",1,"USA","lancet"
"4228","24572997",11,5,"USA",1,"USA","lancet"
"4229","24572077",13,11,"UK",1,"UK","lancet"
"4230","24560541",67,9,"South Africa",2,"South Africa,USA","lancet"
"4231","24560453",13,9,"Israel",4,"Israel,Netherlands,USA,India","lancet"
"4232","24560058",5,4,"UK",1,"UK","lancet"
"4233","24559803",11,3,"USA",1,"USA","lancet"
"4234","24559581",12,8,"Canada",1,"Canada","lancet"
"4235","24559537",8,4,"Kenya",2,"Kenya,Congo","lancet"
"4236","24556041",17,17,"France",1,"France","lancet"
"4237","24556040",21,18,"USA",12,"USA,Italy,Poland,Canada,Korea,Czech Republic,Germany,Australia,Spain,Hanover,Switzerland,France","lancet"
"4238","24556022",19,9,"Denmark",5,"Denmark,Sweden,Iceland,Norway,Finland","lancet"
"4239","24556010",2,2,"Denmark",2,"Denmark,USA","lancet"
"4240","24556009",2,2,"USA",1,"USA","lancet"
"4241","24556008",2,2,"USA",1,"USA","lancet"
"4242","24556007",4,3,"France",1,"France","lancet"
"4243","24553294",3,3,"USA",3,"USA,Kenya,France","lancet"
"4244","24534294",2,2,"USA",1,"USA","lancet"
"4245","24534293",7,7,"UK",5,"UK,Ghana,India,Thailand,Brazil","lancet"
"4246","24534292",5,4,"USA",1,"USA","lancet"
"4247","24530176",19,11,"UK",5,"UK,Australia,China,Chile,France","lancet"
"4248","24529867",7,5,"South Africa",4,"South Africa,UK,Switzerland,Sweden","lancet"
"4249","24529697",15,8,"Netherlands",1,"Netherlands","lancet"
"4250","24529560",37,23,"USA",8,"USA,Germany,France,UK,Italy,Belgium,Sweden,Russia","lancet"
"4251","24525316",29,25,"USA",8,"USA,Germany,Switzerland,UK,Italy,Spain,Norway,Sweden","lancet"
"4252","24525202",26,20,"Italy",7,"Italy,USA,Norway,Netherlands,Australia,Greece,Czech Republic","lancet"
"4253","24522180",9,3,"UK",1,"UK","lancet"
"4254","24521993",11,9,"UK",7,"UK,Italy,Serbia,Thailand,France,Switzerland,Canada","lancet"
"4255","24508320",19,9,"UK",1,"UK","lancet"
"4256","24508198",6,4,"UK",1,"UK","lancet"
"4257","24508104",20,20,"France",1,"France","lancet"
"4258","24508103",28,27,"Australia",9,"Australia,USA,France,UK,Netherlands,Switzerland,Canada,Italy,Germany","lancet"
"4259","24507377",39,8,"UK",4,"UK,USA,Australia,South Africa","lancet"
"4260","24507376",43,8,"China",1,"China","lancet"
"4261","24507091",16,13,"USA",2,"USA,Israel","lancet"
"4262","24503270",3,3,"Canada",1,"Canada","lancet"
"4263","24503269",5,2,"Netherlands",1,"Netherlands","lancet"
"4264","24503268",39,29,"Spain",10,"Spain,France,Germany,Norway,Denmark,Italy,Netherlands,Greece,Sweden,Brazil","lancet"
"4265","24503267",12,9,"UK",3,"UK,Italy,Greece","lancet"
"4266","24503266",9,9,"Belarus",4,"Belarus,Sweden,Italy,UK","lancet"
"4267","24503265",20,17,"UK",2,"UK,Finland","lancet"
"4268","24503135",3,2,"Greece",1,"Greece","lancet"
"4269","24502830",9,8,"USA",5,"USA,Italy,Canada,Germany,France","lancet"
"4270","24499812",41,20,"Netherlands",5,"Netherlands,Sweden,UK,USA,Australia","lancet"
"4271","24486187",16,8,"Russia",4,"Russia,UK,France,USA","lancet"
"4272","24485991",15,8,"China",3,"China,USA,Singapore","lancet"
"4273","24485879",17,17,"USA",7,"USA,Germany,Italy,Switzerland,France,Australia,UK","lancet"
"4274","24485709",10,6,"UK",1,"UK","lancet"
"4275","24485548",14,12,"Czech Republic",11,"Czech Republic,Norway,Italy,Sweden,Romania,Russia,NA,Lithuania,Poland,Belgium,USA","lancet"
"4276","24480559",4,3,"Australia",2,"Australia,France","lancet"
"4277","24480558",14,11,"Belgium",7,"Belgium,USA,Sweden,Germany,Switzerland,Hungary,Netherlands","lancet"
"4278","24480557",4,3,"USA",2,"USA,NA","lancet"
"4279","24480556",2,2,"Italy",1,"Italy","lancet"
"4280","24480518",3,3,"UK",2,"UK,Spain","lancet"
"4281","24480149",5,5,"USA",1,"USA","lancet"
"4282","24480148",25,17,"USA",4,"USA,Canada,Germany,Australia","lancet"
"4283","24462240",19,14,"Spain",5,"Spain,USA,Canada,Austria,Netherlands","lancet"
"4284","24462211",11,6,"USA",2,"USA,UK","lancet"
"4285","24461904",2,2,"USA",1,"USA","lancet"
"4286","24461903",4,3,"Germany",2,"Germany,UK","lancet"
"4287","24461902",3,3,"Spain",1,"Spain","lancet"
"4288","24461901",8,5,"Germany",3,"Germany,Italy,USA","lancet"
"4289","24461900",13,6,"UK",2,"UK,Denmark","lancet"
"4290","24461715",12,11,"UK",3,"UK,Sweden,Germany","lancet"
"4291","24461574",227,10,"France",6,"France,Canada,Italy,USA,Sweden,Switzerland","lancet"
"4292","24461287",1,1,"USA",1,"USA","lancet"
"4293","24457205",15,12,"UK",1,"UK","lancet"
"4294","24457191",4,3,"Sweden",2,"Sweden,UK","lancet"
"4295","24457190",2,2,"Germany",1,"Germany","lancet"
"4296","24457189",9,9,"UK",4,"UK,Germany,USA,Austria","lancet"
"4297","24456814",8,5,"UK",3,"UK,Zimbabwe,Uganda","lancet"
"4298","24452051",11,5,"Australia",4,"Australia,Lebanon,Turkey,USA","lancet"
"4299","24452046",7,7,"Lebanon",3,"Lebanon,USA,Canada","lancet"
"4300","24452045",9,7,"Lebanon",5,"Lebanon,Egypt,Tunisia,Yemen,Libya","lancet"
"4301","24452044",10,9,"Qatar",7,"Qatar,Lebanon,Jordan,Egypt,Oman,Switzerland,USA","lancet"
"4302","24452043",8,7,"USA",2,"USA,Lebanon","lancet"
"4303","24452042",40,22,"USA",17,"USA,Sudan,Saudi Arabia,Yemen,Kuwait,Oman,United Arab Emirates,Jordan,Canada,NA,Morocco,Bahrain,Tunisia,Lebanon,Qatar,Iraq,Australia","lancet"
"4304","24440616",15,8,"UK",1,"UK","lancet"
"4305","24440474",11,7,"Canada",1,"Canada","lancet"
"4306","24440473",18,18,"France",6,"France,Serbia,Israel,Belgium,Spain,Switzerland","lancet"
"4307","24439931",20,6,"USA",1,"USA","lancet"
"4308","24439929",15,15,"China",4,"China,Korea,UK,Thailand","lancet"
"4309","24439313",20,18,"Switzerland",8,"Switzerland,USA,Hungary,Canada,Spain,Netherlands,South Africa,Australia","lancet"
"4310","24439298",8,8,"Australia",2,"Australia,UK","lancet"
"4311","24439297",14,14,"UK",4,"UK,USA,Netherlands,Portugal","lancet"
"4312","24439238",17,12,"Germany",2,"Germany,UK","lancet"
"4313","24439237",12,8,"South Africa",3,"South Africa,USA,Saudi Arabia","lancet"
"4314","24438820",6,4,"South Africa",3,"South Africa,USA,UK","lancet"
"4315","24433684",12,10,"Belgium",8,"Belgium,Netherlands,France,Sweden,Italy,China,Germany,Finland","lancet"
"4316","24433682",6,5,"UK",1,"UK","lancet"
"4317","24412049",2,2,"UK",1,"UK","lancet"
"4318","24412048",38,9,"France",2,"France,UK","lancet"
"4319","24411709",36,22,"France",3,"France,Italy,Germany","lancet"
"4320","24411650",9,9,"Canada",7,"Canada,UK,USA,Italy,Denmark,Australia,Netherlands","lancet"
"4321","24411647",9,9,"Australia",5,"Australia,UK,Netherlands,France,Canada","lancet"
"4322","24411646",9,9,"UK",4,"UK,Australia,USA,Finland","lancet"
"4323","24411645",8,8,"USA",3,"USA,UK,Canada","lancet"
"4324","24411644",9,9,"UK",5,"UK,USA,Italy,Switzerland,Australia","lancet"
"4325","24411639",14,14,"Germany",10,"Germany,Denmark,France,Russia,Poland,Israel,Ukraine,China,USA,Italy","lancet"
"4326","24406145",6,6,"Botswana",4,"Botswana,Uganda,USA,Zimbabwe","lancet"
"4327","24384494",125,13,"UK",7,"UK,USA,Switzerland,Netherlands,China,Italy,France","lancet"
"4328","24384493",37,7,"USA",1,"USA","lancet"
"4329","24384492",7,3,"Singapore",1,"Singapore","lancet"
"4330","24384491",4,4,"Italy",2,"Italy,UK","lancet"
"4331","24382580",15,10,"Switzerland",1,"Switzerland","lancet"
"4332","24369114",16,15,"Canada",6,"Canada,Netherlands,Australia,USA,UK,New Zealand","lancet"
"4333","24361242",13,8,"UK",3,"UK,USA,Austria","lancet"
"4334","24361114",1,1,"Australia",1,"Australia","lancet"
"4335","24361112",37,12,"USA",4,"USA,Germany,Egypt,Italy","lancet"
"4336","24360892",2,2,"UK",1,"UK","lancet"
"4337","24360787",23,20,"UK",2,"UK,Australia","lancet"
"4338","24360484",12,9,"Spain",3,"Spain,Netherlands,USA","lancet"
"4339","24360369",15,10,"Peru",6,"Peru,Brazil,Thailand,India,Switzerland,UK","lancet"
"4340","24355866",20,7,"Netherlands",3,"Netherlands,Qatar,UK","lancet"
"4341","24351322",2,2,"Italy",2,"Italy,France","lancet"
"4342","24351321",1,1,"Switzerland",1,"Switzerland","lancet"
"4343","24351320",1,1,"UK",1,"UK","lancet"
"4344","24351319",5,5,"UK",2,"UK,Sweden","lancet"
"4345","24333009",423,12,"UK",5,"UK,Australia,Germany,Italy,Finland","lancet"
"4346","24332895",2,2,"Gabon",1,"Gabon","lancet"
"4347","24332516",7,7,"UK",1,"UK","lancet"
"4348","24332514",11,9,"UK",2,"UK,Australia","lancet"
"4349","24332512",22,8,"USA",2,"USA,Israel","lancet"
"4350","24332389",8,6,"USA",2,"USA,South Africa","lancet"
"4351","24332307",6,4,"UK",1,"UK","lancet"
"4352","24332274",76,40,"Netherlands",13,"Netherlands,Denmark,Italy,Germany,Greece,Spain,UK,Sweden,Finland,Norway,Austria,Switzerland,France","lancet"
"4353","24332241",22,10,"USA",1,"USA","lancet"
"4354","24332238",18,14,"UK",1,"UK","lancet"
"4355","24331797",2,2,"Spain",1,"Spain","lancet"
"4356","24331796",3,3,"USA",1,"USA","lancet"
"4357","24331795",3,3,"UK",2,"UK,New Zealand","lancet"
"4358","24331794",4,3,"USA",1,"USA","lancet"
"4359","24331154",386,21,"Canada",13,"Canada,USA,Australia,UK,Czech Republic,Poland,Romania,Belgium,Spain,Sweden,Russia,Brazil,Germany","lancet"
"4360","24315724",12,8,"USA",6,"USA,UK,Canada,Israel,Ukraine,Japan","lancet"
"4361","24315621",6,4,"Finland",3,"Finland,USA,China","lancet"
"4362","24315620",3,3,"USA",3,"USA,Australia,Italy","lancet"
"4363","24315522",2,2,"UK",1,"UK","lancet"
"4364","24315521",132,26,"Canada",2,"Canada,USA","lancet"
"4365","24315520",12,7,"UK",1,"UK","lancet"
"4366","24314751",7,5,"France",3,"France,Spain,Mexico","lancet"
"4367","24314616",180,16,"Italy",10,"Italy,Estonia,Poland,France,Bulgaria,Hungary,Germany,Spain,UK,Netherlands","lancet"
"4368","24314615",217,11,"Italy",7,"Italy,UK,Netherlands,Germany,Spain,Poland,Denmark","lancet"
"4369","24309480",9,6,"Australia",4,"Australia,Switzerland,Cameroon,UK","lancet"
"4370","24309370",20,19,"Japan",1,"Japan","lancet"
"4371","24304598",13,12,"UK",1,"UK","lancet"
"4372","24295572",23,11,"USA",4,"USA,Japan,India,Netherlands","lancet"
"4373","24291220",41,33,"USA",16,"USA,UK,Japan,Ireland,Brazil,Belgium,Poland,Turkey,Netherlands,India,New Zealand,Germany,Canada,Chile,France,NA","lancet"
"4374","24291168",17,17,"UK",5,"UK,Germany,USA,Mexico,Austria","lancet"
"4375","24290843",18,6,"Pakistan",5,"Pakistan,Philippines,India,Italy,Germany","lancet"
"4376","24290841",4,3,"Australia",1,"Australia","lancet"
"4377","24290840",2,2,"USA",1,"USA","lancet"
"4378","24290661",5,4,"Spain",2,"Spain,UK","lancet"
"4379","24290406",15,9,"UK",1,"UK","lancet"
"4380","24290404",15,10,"UK",3,"UK,Australia,New Zealand","lancet"
"4381","24290159",11,11,"Netherlands",4,"Netherlands,USA,Japan,Finland","lancet"
"4382","24287186",12,5,"Finland",2,"Finland,Belgium","lancet"
"4383","24287184",3,3,"USA",2,"USA,Hanover","lancet"
"4384","24284287",19,11,"Thailand",1,"Thailand","lancet"
"4385","24268829",2,2,"Canada",1,"Canada","lancet"
"4386","24268591",2,2,"Canada",2,"Canada,USA","lancet"
"4387","24268590",10,4,"USA",2,"USA,Bangladesh","lancet"
"4388","24268105",232,18,"USA",6,"USA,France,UK,Brazil,Germany,Netherlands","lancet"
"4389","24268104",3,3,"UK",1,"UK","lancet"
"4390","24263249",85,19,"Switzerland",8,"Switzerland,Cambodia,Australia,USA,Canada,UK,Colombia,India","lancet"
"4391","24239327",4,2,"Netherlands",1,"Netherlands","lancet"
"4392","24239324",16,9,"UK",4,"UK,Netherlands,Uganda,Thailand","lancet"
"4393","24239323",9,4,"UK",2,"UK,France","lancet"
"4394","24225001",3,3,"Germany",1,"Germany","lancet"
"4395","24224999",20,4,"UK",1,"UK","lancet"
"4396","24224997",29,20,"UK",6,"UK,Germany,Australia,Denmark,Italy,USA","lancet"
"4397","24210779",8,6,"Australia",3,"Australia,USA,Germany","lancet"
"4398","24209977",9,3,"USA",1,"USA","lancet"
"4399","24192252",34,9,"Italy",6,"Italy,Sweden,Netherlands,Belgium,UK,France","lancet"
"4400","24183564",20,8,"Netherlands",1,"Netherlands","lancet"
"4401","24183563",8,6,"USA",2,"USA,UK","lancet"
"4402","24183105",7,6,"USA",5,"USA,Germany,UK,Switzerland,Netherlands","lancet"
"4403","24183056",20,8,"China",1,"China","lancet"
"4404","24176144",63,11,"South Africa",6,"South Africa,Zimbabwe,Zambia,Germany,Canada,USA","lancet"
"4405","24168957",622,23,"USA",2,"USA,NA","lancet"
"4406","24168956",11,9,"Austria",7,"Austria,UK,USA,Sweden,Czech Republic,Belgium,Germany","lancet"
"4407","24161821",11,7,"Italy",3,"Italy,Sweden,Spain","lancet"
"4408","24161820",64,20,"Switzerland",10,"Switzerland,Canada,UK,Israel,France,Netherlands,Australia,Brazil,Germany,Sweden","lancet"
"4409","24161233",23,20,"Netherlands",12,"Netherlands,UK,Belgium,Poland,France,Portugal,Latvia,Greece,Slovenia,Italy,Spain,Luxembourg","lancet"
"4410","24139977",17,8,"UK",1,"UK","lancet"
"4411","24139708",34,11,"Italy",2,"Italy,UK","lancet"
"4412","24131861",22,12,"Germany",1,"Germany","lancet"
"4413","24119980",3,3,"New Zealand",1,"New Zealand","lancet"
"4414","24119840",15,10,"Australia",1,"Australia","lancet"
"4415","24119423",1,1,"USA",1,"USA","lancet"
"4416","24119384",13,8,"Canada",1,"Canada","lancet"
"4417","24094768",142,21,"USA",14,"USA,Czech Republic,Korea,Romania,Italy,NA,Brazil,UK,Russian Federation,Australia,Guatemala,India,Poland,Spain","lancet"
"4418","24094767",20,5,"USA",2,"USA,UK","lancet"
"4419","24090799",6,4,"France",2,"France,Germany","lancet"
"4420","24084292",4,4,"USA",1,"USA","lancet"
"4421","24076277",16,7,"Canada",1,"Canada","lancet"
"4422","24075279",6,3,"Netherlands",1,"Netherlands","lancet"
"4423","24074734",3,3,"UK",2,"UK,Cyprus","lancet"
"4424","24054424",3,3,"France",2,"France,Canada","lancet"
"4425","24035220",29,10,"Chad",6,"Chad,France,Burkina Faso,Switzerland,UK,Norway","lancet"
"4426","24034453",2,2,"Canada",2,"Canada,USA","lancet"
"4427","24007975",2,2,"USA",2,"USA,Israel","lancet"
"4428","23992774",3,3,"Israel",3,"Israel,Netherlands,USA","lancet"
"4429","23953767",6,6,"Thailand",4,"Thailand,Vietnam,Bangladesh,Niger","lancet"
"4430","23927914",4,4,"Australia",1,"Australia","lancet"
"4431","23910433",3,3,"Australia",3,"Australia,Ireland,USA","lancet"
"4432","23890997",3,2,"USA",1,"USA","lancet"
"4433","23871090",3,3,"Belgium",3,"Belgium,Italy,USA","lancet"
"4434","25533961",11,4,"Australia",2,"Australia,UK","nature"
"4435","25533960",4,2,"USA",2,"USA,Germany","nature"
"4436","25533959",7,5,"Switzerland",1,"Switzerland","nature"
"4437","25533958",13,4,"USA",2,"USA,Germany","nature"
"4438","25533957",9,5,"Canada",1,"Canada","nature"
"4439","25533956",14,4,"Japan",2,"Japan,Spain","nature"
"4440","25533955",5,1,"Germany",1,"Germany","nature"
"4441","25533953",27,10,"USA",2,"USA,UK","nature"
"4442","25533952",11,7,"USA",1,"USA","nature"
"4443","25533951",21,6,"USA",3,"USA,Israel,Germany","nature"
"4444","25533949",2,2,"USA",1,"USA","nature"
"4445","25519137",16,7,"Germany",4,"Germany,France,Sweden,Canada","nature"
"4446","25519136",4,3,"Canada",3,"Canada,USA,UK","nature"
